   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1823.000        0.135       99.865        0.001       99.999   3.5676E-05   9.9601E-01   1.3188E-03
     1823.000        0.271       99.729        0.002       99.998   7.1886E-05   9.9202E-01   2.6360E-03
     1823.000        0.406       99.594        0.003       99.997   1.0864E-04   9.8804E-01   3.9518E-03
     1823.000        0.541       99.459        0.004       99.996   1.4594E-04   9.8406E-01   5.2660E-03
     1823.000        0.676       99.324        0.005       99.995   1.8381E-04   9.8008E-01   6.5788E-03
     1823.000        0.811       99.189        0.006       99.994   2.2224E-04   9.7611E-01   7.8900E-03
     1823.000        0.946       99.054        0.007       99.993   2.6125E-04   9.7214E-01   9.1997E-03
     1823.000        1.081       98.919        0.008       99.992   3.0084E-04   9.6818E-01   1.0508E-02
     1823.000        1.216       98.784        0.009       99.991   3.4104E-04   9.6422E-01   1.1814E-02
     1823.000        1.350       98.650        0.010       99.990   3.8184E-04   9.6026E-01   1.3120E-02
     1823.000        1.485       98.515        0.011       99.989   4.2325E-04   9.5631E-01   1.4423E-02
     1823.000        1.619       98.381        0.012       99.988   4.6529E-04   9.5236E-01   1.5725E-02
     1823.000        1.753       98.247        0.013       99.987   5.0796E-04   9.4842E-01   1.7025E-02
     1823.000        1.887       98.113        0.014       99.986   5.5128E-04   9.4448E-01   1.8324E-02
     1823.000        2.022       97.978        0.015       99.985   5.9526E-04   9.4054E-01   1.9621E-02
     1823.000        2.156       97.844        0.016       99.984   6.3989E-04   9.3661E-01   2.0916E-02
     1823.000        2.290       97.710        0.017       99.983   6.8521E-04   9.3268E-01   2.2210E-02
     1823.000        2.423       97.577        0.018       99.982   7.3122E-04   9.2876E-01   2.3503E-02
     1823.000        2.557       97.443        0.019       99.981   7.7792E-04   9.2484E-01   2.4793E-02
     1823.000        2.691       97.309        0.020       99.980   8.2533E-04   9.2093E-01   2.6082E-02
     1823.000        2.824       97.176        0.021       99.979   8.7348E-04   9.1702E-01   2.7369E-02
     1823.000        2.958       97.042        0.022       99.978   9.2235E-04   9.1311E-01   2.8655E-02
     1823.000        3.091       96.909        0.023       99.977   9.7195E-04   9.0921E-01   2.9939E-02
     1823.000        3.224       96.776        0.024       99.976   1.0223E-03   9.0531E-01   3.1221E-02
     1823.000        3.357       96.643        0.025       99.975   1.0735E-03   9.0142E-01   3.2502E-02
     1823.000        3.491       96.509        0.026       99.974   1.1254E-03   8.9753E-01   3.3780E-02
     1823.000        3.624       96.376        0.027       99.973   1.1781E-03   8.9365E-01   3.5058E-02
     1823.000        3.756       96.244        0.028       99.972   1.2316E-03   8.8977E-01   3.6333E-02
     1823.000        3.889       96.111        0.029       99.971   1.2860E-03   8.8589E-01   3.7607E-02
     1823.000        4.022       95.978        0.030       99.970   1.3412E-03   8.8202E-01   3.8878E-02
     1823.000        4.155       95.845        0.031       99.969   1.3972E-03   8.7816E-01   4.0148E-02
     1823.000        4.287       95.713        0.032       99.968   1.4541E-03   8.7429E-01   4.1417E-02
     1823.000        4.419       95.581        0.033       99.967   1.5119E-03   8.7044E-01   4.2683E-02
     1823.000        4.552       95.448        0.034       99.966   1.5706E-03   8.6658E-01   4.3948E-02
     1823.000        4.684       95.316        0.035       99.965   1.6301E-03   8.6274E-01   4.5211E-02
     1823.000        4.816       95.184        0.036       99.964   1.6906E-03   8.5889E-01   4.6471E-02
     1823.000        4.948       95.052        0.037       99.963   1.7521E-03   8.5505E-01   4.7731E-02
     1823.000        5.080       94.920        0.038       99.962   1.8144E-03   8.5122E-01   4.8988E-02
     1823.000        5.212       94.788        0.039       99.961   1.8778E-03   8.4739E-01   5.0243E-02
     1823.000        5.344       94.656        0.040       99.960   1.9421E-03   8.4357E-01   5.1497E-02
     1823.000        5.475       94.525        0.041       99.959   2.0075E-03   8.3975E-01   5.2748E-02
     1823.000        5.607       94.393        0.042       99.958   2.0738E-03   8.3593E-01   5.3997E-02
     1823.000        5.739       94.261        0.043       99.957   2.1412E-03   8.3212E-01   5.5245E-02
     1823.000        5.870       94.130        0.044       99.956   2.2097E-03   8.2832E-01   5.6491E-02
     1823.000        6.001       93.999        0.045       99.955   2.2792E-03   8.2452E-01   5.7734E-02
     1823.000        6.132       93.868        0.046       99.954   2.3498E-03   8.2072E-01   5.8976E-02
     1823.000        6.264       93.736        0.047       99.953   2.4215E-03   8.1693E-01   6.0215E-02
     1823.000        6.395       93.605        0.048       99.952   2.4943E-03   8.1314E-01   6.1453E-02
     1823.000        6.526       93.474        0.049       99.951   2.5683E-03   8.0936E-01   6.2688E-02
     1823.000        6.656       93.344        0.050       99.950   2.6434E-03   8.0559E-01   6.3922E-02
     1823.000        6.787       93.213        0.051       99.949   2.7197E-03   8.0182E-01   6.5153E-02
     1823.000        6.918       93.082        0.052       99.948   2.7972E-03   7.9805E-01   6.6382E-02
     1823.000        7.048       92.952        0.053       99.947   2.8760E-03   7.9429E-01   6.7609E-02
     1823.000        7.179       92.821        0.054       99.946   2.9560E-03   7.9054E-01   6.8834E-02
     1823.000        7.309       92.691        0.055       99.945   3.0372E-03   7.8679E-01   7.0057E-02
     1823.000        7.440       92.560        0.056       99.944   3.1198E-03   7.8304E-01   7.1278E-02
     1823.000        7.570       92.430        0.057       99.943   3.2036E-03   7.7931E-01   7.2496E-02
     1823.000        7.700       92.300        0.058       99.942   3.2888E-03   7.7557E-01   7.3712E-02
     1823.000        7.830       92.170        0.059       99.941   3.3753E-03   7.7184E-01   7.4926E-02
     1823.000        7.960       92.040        0.060       99.940   3.4632E-03   7.6812E-01   7.6138E-02
     1823.000        8.090       91.910        0.061       99.939   3.5525E-03   7.6440E-01   7.7347E-02
     1823.000        8.220       91.780        0.062       99.938   3.6432E-03   7.6069E-01   7.8554E-02
     1823.000        8.349       91.651        0.063       99.937   3.7354E-03   7.5699E-01   7.9758E-02
     1823.000        8.479       91.521        0.064       99.936   3.8291E-03   7.5329E-01   8.0961E-02
     1823.000        8.608       91.392        0.065       99.935   3.9242E-03   7.4959E-01   8.2161E-02
     1823.000        8.738       91.262        0.066       99.934   4.0209E-03   7.4590E-01   8.3358E-02
     1823.000        8.867       91.133        0.067       99.933   4.1191E-03   7.4222E-01   8.4553E-02
     1823.000        8.996       91.004        0.068       99.932   4.2189E-03   7.3854E-01   8.5745E-02
     1823.000        9.125       90.875        0.069       99.931   4.3203E-03   7.3487E-01   8.6935E-02
     1823.000        9.254       90.746        0.070       99.930   4.4233E-03   7.3121E-01   8.8123E-02
     1823.000        9.383       90.617        0.071       99.929   4.5280E-03   7.2755E-01   8.9308E-02
     1823.000        9.512       90.488        0.072       99.928   4.6344E-03   7.2389E-01   9.0490E-02
     1823.000        9.641       90.359        0.073       99.927   4.7425E-03   7.2025E-01   9.1670E-02
     1823.000        9.770       90.230        0.074       99.926   4.8523E-03   7.1661E-01   9.2847E-02
     1823.000        9.898       90.102        0.075       99.925   4.9639E-03   7.1297E-01   9.4021E-02
     1823.000       10.027       89.973        0.076       99.924   5.0773E-03   7.0934E-01   9.5193E-02
     1823.000       10.155       89.845        0.077       99.923   5.1926E-03   7.0572E-01   9.6362E-02
     1823.000       10.284       89.716        0.078       99.922   5.3097E-03   7.0210E-01   9.7528E-02
     1823.000       10.412       89.588        0.079       99.921   5.4287E-03   6.9849E-01   9.8692E-02
     1823.000       10.540       89.460        0.080       99.920   5.5496E-03   6.9489E-01   9.9852E-02
     1823.000       10.668       89.332        0.081       99.919   5.6726E-03   6.9129E-01   1.0101E-01
     1823.000       10.796       89.204        0.082       99.918   5.7974E-03   6.8771E-01   1.0216E-01
     1823.000       10.924       89.076        0.083       99.917   5.9244E-03   6.8412E-01   1.0332E-01
     1823.000       11.052       88.948        0.084       99.916   6.0534E-03   6.8055E-01   1.0447E-01
     1823.000       11.179       88.821        0.085       99.915   6.1845E-03   6.7698E-01   1.0561E-01
     1823.000       11.307       88.693        0.086       99.914   6.3178E-03   6.7341E-01   1.0676E-01
     1823.000       11.435       88.565        0.087       99.913   6.4532E-03   6.6986E-01   1.0790E-01
     1823.000       11.562       88.438        0.088       99.912   6.5908E-03   6.6631E-01   1.0903E-01
     1823.000       11.689       88.311        0.089       99.911   6.7307E-03   6.6277E-01   1.1017E-01
     1823.000       11.817       88.183        0.090       99.910   6.8729E-03   6.5924E-01   1.1130E-01
     1823.000       11.944       88.056        0.091       99.909   7.0174E-03   6.5571E-01   1.1242E-01
     1823.000       12.071       87.929        0.092       99.908   7.1643E-03   6.5219E-01   1.1355E-01
     1823.000       12.198       87.802        0.093       99.907   7.3135E-03   6.4868E-01   1.1467E-01
     1823.000       12.325       87.675        0.094       99.906   7.4653E-03   6.4517E-01   1.1579E-01
     1823.000       12.452       87.548        0.095       99.905   7.6195E-03   6.4168E-01   1.1690E-01
     1823.000       12.579       87.421        0.096       99.904   7.7762E-03   6.3819E-01   1.1801E-01
     1823.000       12.705       87.295        0.097       99.903   7.9355E-03   6.3470E-01   1.1912E-01
     1823.000       12.832       87.168        0.098       99.902   8.0974E-03   6.3123E-01   1.2022E-01
     1823.000       12.958       87.042        0.099       99.901   8.2620E-03   6.2777E-01   1.2132E-01
     1823.000       13.085       86.915        0.100       99.900   8.4294E-03   6.2431E-01   1.2242E-01
     1823.000       13.211       86.789        0.101       99.899   8.5994E-03   6.2086E-01   1.2351E-01
     1823.000       13.337       86.663        0.102       99.898   8.7722E-03   6.1742E-01   1.2460E-01
     1823.000       13.463       86.537        0.103       99.897   8.9479E-03   6.1398E-01   1.2569E-01
     1823.000       13.589       86.411        0.104       99.896   9.1264E-03   6.1056E-01   1.2677E-01
     1823.000       13.715       86.285        0.105       99.895   9.3079E-03   6.0714E-01   1.2785E-01
     1823.000       13.841       86.159        0.106       99.894   9.4924E-03   6.0374E-01   1.2892E-01
     1823.000       13.967       86.033        0.107       99.893   9.6799E-03   6.0034E-01   1.2999E-01
     1823.000       14.093       85.907        0.108       99.892   9.8705E-03   5.9695E-01   1.3106E-01
     1823.000       14.218       85.782        0.109       99.891   1.0064E-02   5.9356E-01   1.3212E-01
     1823.000       14.344       85.656        0.110       99.890   1.0261E-02   5.9019E-01   1.3318E-01
     1823.000       14.469       85.531        0.111       99.889   1.0461E-02   5.8683E-01   1.3424E-01
     1823.000       14.595       85.405        0.112       99.888   1.0665E-02   5.8347E-01   1.3529E-01
     1823.000       14.720       85.280        0.113       99.887   1.0871E-02   5.8013E-01   1.3633E-01
     1823.000       14.845       85.155        0.114       99.886   1.1082E-02   5.7679E-01   1.3737E-01
     1823.000       14.970       85.030        0.115       99.885   1.1295E-02   5.7347E-01   1.3841E-01
     1823.000       15.095       84.905        0.116       99.884   1.1512E-02   5.7015E-01   1.3945E-01
     1823.000       15.220       84.780        0.117       99.883   1.1733E-02   5.6684E-01   1.4047E-01
     1823.000       15.345       84.655        0.118       99.882   1.1957E-02   5.6355E-01   1.4150E-01
     1823.000       15.470       84.530        0.119       99.881   1.2185E-02   5.6026E-01   1.4252E-01
     1823.000       15.595       84.405        0.120       99.880   1.2417E-02   5.5698E-01   1.4353E-01
     1823.000       15.719       84.281        0.121       99.879   1.2652E-02   5.5371E-01   1.4454E-01
     1823.000       15.844       84.156        0.122       99.878   1.2892E-02   5.5046E-01   1.4555E-01
     1823.000       15.968       84.032        0.123       99.877   1.3135E-02   5.4721E-01   1.4655E-01
     1823.000       16.093       83.907        0.124       99.876   1.3382E-02   5.4397E-01   1.4755E-01
     1823.000       16.217       83.783        0.125       99.875   1.3633E-02   5.4075E-01   1.4854E-01
     1823.000       16.341       83.659        0.126       99.874   1.3888E-02   5.3753E-01   1.4953E-01
     1823.000       16.465       83.535        0.127       99.873   1.4148E-02   5.3433E-01   1.5051E-01
     1823.000       16.589       83.411        0.128       99.872   1.4411E-02   5.3113E-01   1.5148E-01
